k_index,k_fractional,energy_eV,spectral_weight_per_eV
0,-0.3750000000,-24.4084869267,5.1914015143e-04
0,-0.3750000000,-24.3784826404,5.3991896497e-04
0,-0.3750000000,-24.3484783541,5.7606193085e-04
0,-0.3750000000,-24.3184740677,6.2967469209e-04
0,-0.3750000000,-24.2884697814,7.0349317806e-04
0,-0.3750000000,-24.2584654951,7.9999897361e-04
0,-0.3750000000,-24.2284612087,9.1912948163e-04
0,-0.3750000000,-24.1984569224,1.0537968799e-03
0,-0.3750000000,-24.1684526361,1.1842892415e-03
0,-0.3750000000,-24.1384483498,1.2782431262e-03
0,-0.3750000000,-24.1084440634,1.3059359395e-03
0,-0.3750000000,-24.0784397771,1.2639489316e-03
0,-0.3750000000,-24.0484354908,1.1788592961e-03
0,-0.3750000000,-24.0184312045,1.0851624249e-03
0,-0.3750000000,-23.9884269181,1.0045833192e-03
0,-0.3750000000,-23.9584226318,9.4114580166e-04
0,-0.3750000000,-23.9284183455,8.8582446991e-04
0,-0.3750000000,-23.8984140592,8.2546992618e-04
0,-0.3750000000,-23.8684097728,7.5333381249e-04
0,-0.3750000000,-23.8384054865,6.7341877530e-04
0,-0.3750000000,-23.8084012002,5.9488194556e-04
0,-0.3750000000,-23.7783969138,5.2476032079e-04
0,-0.3750000000,-23.7483926275,4.6577795480e-04
0,-0.3750000000,-23.7183883412,4.1767752161e-04
0,-0.3750000000,-23.6883840549,3.7894350265e-04
0,-0.3750000000,-23.6583797685,3.4782289739e-04
0,-0.3750000000,-23.6283754822,3.2274576590e-04
0,-0.3750000000,-23.5983711959,3.0243586898e-04
0,-0.3750000000,-23.5683669096,2.8589805266e-04
0,-0.3750000000,-23.5383626232,2.7236948452e-04
0,-0.3750000000,-23.5083583369,2.6126847477e-04
0,-0.3750000000,-23.4783540506,2.5215136495e-04
0,-0.3750000000,-23.4483497643,2.4467912686e-04
0,-0.3750000000,-23.4183454779,2.3859247949e-04
0,-0.3750000000,-23.3883411916,2.3369376211e-04
0,-0.3750000000,-23.3583369053,2.2983398163e-04
0,-0.3750000000,-23.3283326189,2.2690380934e-04
0,-0.3750000000,-23.2983283326,2.2482763012e-04
0,-0.3750000000,-23.2683240463,2.2355995818e-04
0,-0.3750000000,-23.2383197600,2.2308352661e-04
0,-0.3750000000,-23.2083154736,2.2340790473e-04
0,-0.3750000000,-23.1783111873,2.2456608440e-04
0,-0.3750000000,-23.1483069010,2.2660318049e-04
0,-0.3750000000,-23.1183026147,2.2954548733e-04
0,-0.3750000000,-23.0882983283,2.3333316152e-04
0,-0.3750000000,-23.0582940420,2.3771537805e-04
0,-0.3750000000,-23.0282897557,2.4218241006e-04
0,-0.3750000000,-22.9982854694,2.4611333897e-04
0,-0.3750000000,-22.9682811830,2.4919308534e-04
0,-0.3750000000,-22.9382768967,2.5172275126e-04
0,-0.3750000000,-22.9082726104,2.5444565438e-04
0,-0.3750000000,-22.8782683240,2.5813113720e-04
0,-0.3750000000,-22.8482640377,2.6335268132e-04
0,-0.3750000000,-22.8182597514,2.7051854251e-04
0,-0.3750000000,-22.7882554651,2.7998441832e-04
0,-0.3750000000,-22.7582511787,2.9212513655e-04
0,-0.3750000000,-22.7282468924,3.0731122000e-04
0,-0.3750000000,-22.6982426061,3.2572892513e-04
0,-0.3750000000,-22.6682383198,3.4694808750e-04
0,-0.3750000000,-22.6382340334,3.6923613504e-04
0,-0.3750000000,-22.6082297471,3.8912088102e-04
0,-0.3750000000,-22.5782254608,4.0243307092e-04
0,-0.3750000000,-22.5482211745,4.0716646701e-04
0,-0.3750000000,-22.5182168881,4.0534914436e-04
0,-0.3750000000,-22.4882126018,4.0138764753e-04
0,-0.3750000000,-22.4582083155,3.9916560719e-04
0,-0.3750000000,-22.4282040291,4.0087660017e-04
0,-0.3750000000,-22.3981997428,4.0742548560e-04
0,-0.3750000000,-22.3681954565,4.1915018757e-04
0,-0.3750000000,-22.3381911702,4.3631474901e-04
0,-0.3750000000,-22.3081868838,4.5936711417e-04
0,-0.3750000000,-22.2781825975,4.8907255562e-04
0,-0.3750000000,-22.2481783112,5.2659863557e-04
0,-0.3750000000,-22.2181740249,5.7357422727e-04
0,-0.3750000000,-22.1881697385,6.3208641421e-04
0,-0.3750000000,-22.1581654522,7.0448469751e-04
0,-0.3750000000,-22.1281611659,7.9269247664e-04
0,-0.3750000000,-22.0981568796,8.9651249069e-04
0,-0.3750000000,-22.0681525932,1.0105530821e-03
0,-0.3750000000,-22.0381483069,1.1210983198e-03
0,-0.3750000000,-22.0081440206,1.2080864807e-03
0,-0.3750000000,-21.9781397342,1.2571346697e-03
0,-0.3750000000,-21.9481354479,1.2730356272e-03
0,-0.3750000000,-21.9181311616,1.2776785631e-03
0,-0.3750000000,-21.8881268753,1.2955825709e-03
0,-0.3750000000,-21.8581225889,1.3445706152e-03
0,-0.3750000000,-21.8281183026,1.4359772666e-03
0,-0.3750000000,-21.7981140163,1.5781432861e-03
0,-0.3750000000,-21.7681097300,1.7784422698e-03
0,-0.3750000000,-21.7381054436,2.0419213677e-03
0,-0.3750000000,-21.7081011573,2.3649398818e-03
0,-0.3750000000,-21.6780968710,2.7226746258e-03
0,-0.3750000000,-21.6480925847,3.0559268204e-03
0,-0.3750000000,-21.6180882983,3.2782811482e-03
0,-0.3750000000,-21.5880840120,3.3245618456e-03
0,-0.3750000000,-21.5580797257,3.2067141978e-03
0,-0.3750000000,-21.5280754393,3.0060263287e-03
0,-0.3750000000,-21.4980711530,2.8119924622e-03
0,-0.3750000000,-21.4680668667,2.6795785004e-03
0,-0.3750000000,-21.4380625804,2.6240030466e-03
0,-0.3750000000,-21.4080582940,2.6293406676e-03
0,-0.3750000000,-21.3780540077,2.6595441428e-03
0,-0.3750000000,-21.3480497214,2.6778362705e-03
0,-0.3750000000,-21.3180454351,2.6686869807e-03
0,-0.3750000000,-21.2880411487,2.6365074856e-03
0,-0.3750000000,-21.2580368624,2.5814703485e-03
0,-0.3750000000,-21.2280325761,2.4906276932e-03
0,-0.3750000000,-21.1980282898,2.3592385301e-03
