k_index,k1,k2,k3,k_distance_inv_ang,label,energy_eV,spectral_weight_per_eV
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.7117117117,4.6040161129e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.6516516517,4.6977345076e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.5915915916,4.7944009296e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.5315315315,4.8941429499e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.4714714715,4.9970953238e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.4114114114,5.1034005023e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.3513513514,5.2132091874e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.2912912913,5.3266809391e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.2312312312,5.4439848369e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.1711711712,5.5653002030e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.1111111111,5.6908173956e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.0510510511,5.8207386779e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.9909909910,5.9552791747e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.9309309309,6.0946679256e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.8708708709,6.2391490474e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.8108108108,6.3889830206e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.7507507508,6.5444481150e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.6906906907,6.7058419757e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.6306306306,6.8734833886e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.5705705706,7.0477142551e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.5105105105,7.2289018033e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.4504504505,7.4174410744e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.3903903904,7.6137577255e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.3303303303,7.8183112010e-03
